Candidate	Score
Solution 398	0.9951620619 [0.994375270789-0.995948853049]
Solution 399	0.9937515277 [0.992947296167-0.994555759268]
Solution 400	0.9907801330 [0.989917611264-0.991642654753]
Solution 401	0.9956471240 [0.994867441169-0.996426806878]
Solution 402	0.9956471240 [0.994867441169-0.996426806878]
Solution 403	0.9956386365 [0.994858734015-0.996418538973]
Solution 404	0.9946260018 [0.993833061747-0.995418941910]
Solution 405	0.9951620619 [0.994375270789-0.995948853049]
Solution 406	0.9937515277 [0.992947296167-0.994555759268]
Solution 407	0.9907801330 [0.989917611264-0.991642654753]
Solution 408	0.9956386365 [0.994858734015-0.996418538973]
Solution 409	0.9946260018 [0.993833061747-0.995418941910]
Solution 410	0.9951620619 [0.994375270789-0.995948853049]
Solution 411	0.9937515277 [0.992947296167-0.994555759268]
Solution 412	0.9907801330 [0.989917611264-0.991642654753]
Solution 413	0.9933494014 [0.992384189238-0.994314613491]
Solution 414	0.9943525643 [0.993396820645-0.995308307944]
Solution 415	0.9933204275 [0.992355006314-0.994285848723]
Solution 416	0.9943732791 [0.993417516319-0.995329041857]
Solution 417	0.9922913212 [0.991303686174-0.993278956218]
Solution 418	0.9933129192 [0.992347250081-0.994278588268]
Solution 419	0.9931939055 [0.992225988835-0.994161822088]
Solution 420	0.9939143449 [0.992953360143-0.994875329687]
Solution 421	0.9917380952 [0.990745100992-0.992731089471]
Solution 422	0.9924979406 [0.991524211632-0.993471669613]
Solution 423	0.9898115077 [0.988796508919-0.990826506494]
Solution 424	0.9895107245 [0.988489977157-0.990531471915]
Solution 425	0.9955785208 [0.994797845147-0.996359196423]
Solution 426	0.9953316782 [0.994548730298-0.996114626059]
Solution 427	0.9953244925 [0.994541755355-0.996107229572]
Solution 428	0.9938285017 [0.993024956125-0.994632047347]
Solution 429	0.9934733876 [0.992663659488-0.994283115677]
Solution 430	0.9904652420 [0.989605156292-0.991325327778]
Solution 431	0.9955785208 [0.994797845147-0.996359196423]
Solution 432	0.9955785208 [0.994797845147-0.996359196423]
Solution 433	0.9953316782 [0.994548730298-0.996114626059]
Solution 434	0.9953244925 [0.994541755355-0.996107229572]
Solution 435	0.9938285017 [0.993024956125-0.994632047347]
Solution 436	0.9934733876 [0.992663659488-0.994283115677]
Solution 437	0.9904652420 [0.989605156292-0.991325327778]
Solution 438	0.9953316782 [0.994548730298-0.996114626059]
Solution 439	0.9953244925 [0.994541755355-0.996107229572]
Solution 440	0.9938285017 [0.993024956125-0.994632047347]
Solution 441	0.9934733876 [0.992663659488-0.994283115677]
Solution 442	0.9904652420 [0.989605156292-0.991325327778]
Solution 443	0.9942783709 [0.993321840782-0.995234901041]
Solution 444	0.9940276994 [0.993069593728-0.994985805150]
Solution 445	0.9939812660 [0.993022389674-0.994940142252]
Solution 446	0.9925723072 [0.991598602315-0.993546012177]
Solution 447	0.9922198005 [0.991240828593-0.993198772382]
Solution 448	0.9892043110 [0.988186641751-0.990221980347]
Solution 449	0.9954346081 [0.994648920748-0.996220295538]
Solution 450	0.9952248666 [0.994438243116-0.996011490128]
Solution 451	0.9951608216 [0.994375043111-0.995946600124]
Solution 452	0.9932525988 [0.992437374575-0.994067823107]
Solution 453	0.9929121022 [0.992088117468-0.993736086869]
Solution 454	0.9899576976 [0.989082461860-0.990832933304]
Solution 455	0.9954346081 [0.994648920748-0.996220295538]
Solution 456	0.9954346081 [0.994648920748-0.996220295538]
Solution 457	0.9952248666 [0.994438243116-0.996011490128]
Solution 458	0.9951608216 [0.994375043111-0.995946600124]
Solution 459	0.9932525988 [0.992437374575-0.994067823107]
Solution 460	0.9929121022 [0.992088117468-0.993736086869]
Solution 461	0.9899576976 [0.989082461860-0.990832933304]
Solution 462	0.9952248666 [0.994438243116-0.996011490128]
Solution 463	0.9951608216 [0.994375043111-0.995946600124]
Solution 464	0.9932525988 [0.992437374575-0.994067823107]
Solution 465	0.9929121022 [0.992088117468-0.993736086869]
Solution 466	0.9899576976 [0.989082461860-0.990832933304]
Solution 467	0.9956469483 [0.994867395110-0.996426501434]
Solution 468	0.9953242690 [0.994541860994-0.996106677023]
Solution 469	0.9952784406 [0.994494986034-0.996061895204]
Solution 470	0.9938300860 [0.993027547885-0.994632624131]
