sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"AL353608.1","Unmatched","","","",""
"DKFZP434O1614","Unmatched","","","",""
"CTD-3105H18.14","Unmatched","","","",""
"CTD-2583A14.9","Unmatched","","","",""
"XXbac-BPG181M17.5","Unmatched","","","",""
"AL359195.1","Unmatched","","","",""
"AP003068.23","Unmatched","","","",""
"AC007390.5","Unmatched","","","",""
"AL049840.1","Unmatched","","","",""
"RP11-45M22.4","Unmatched","","","",""
"AL953854.2","Unmatched","","","",""
"AC015688.3","Unmatched","","","",""
"AP002884.3","Unmatched","","","",""
"AL590452.1","Unmatched","","","",""
"AL109927.1","Unmatched","","","",""
"AC008132.1","Unmatched","","","",""
"AC010327.2","Unmatched","","","",""
"RP11-216L13.17","Unmatched","","","",""
"AC024257.1","Unmatched","","","",""
"AC013269.5","Unmatched","","","",""
"CTD-2510F5.6","Unmatched","","","",""
"CTD-3222D19.2","Unmatched","","","",""
"RP11-77K12.1","Unmatched","","","",""
"AC074091.13","Unmatched","","","",""
"AC013449.1","Unmatched","","","",""
"AC145676.2","Unmatched","","","",""
"RP13-996F3.5","Unmatched","","","",""
"RP11-196G11.1","Unmatched","","","",""
"AC008964.1","Unmatched","","","",""
"RP11-343C2.9","Unmatched","","","",""
"RP13-996F3.4","Unmatched","","","",""
"CTD-2561J22.3","Unmatched","","","",""
"RP3-369A17.5","Unmatched","","","",""
"AL049747.1","Unmatched","","","",""
"AL031666.2","Unmatched","","","",""
"AC027763.2","Unmatched","","","",""
"RP11-761B3.1","Unmatched","","","",""
"RP11-527L4.2","Unmatched","","","",""
"AC011997.1","Unmatched","","","",""
"DKFZP434H0512","Unmatched","","","",""
"RP11-343C2.7","Unmatched","","","",""
"AC106876.2","Unmatched","","","",""
"AP006621.5","Unmatched","","","",""
"RP11-321F6.1","Unmatched","","","",""
"AC008267.1","Unmatched","","","",""
"CTD-2267D19.3","Unmatched","","","",""
"RP11-296A16.1","Unmatched","","","",""
"AC016722.2","Unmatched","","","",""
"AC020922.1","Unmatched","","","",""
"RP11-155D18.14","Unmatched","","","",""
"RP11-529K1.3","Unmatched","","","",""
"RP11-190A12.7","Unmatched","","","",""
"AC007382.1","Unmatched","","","",""
"AL358333.1","Unmatched","","","",""
"AC091150.1","Unmatched","","","",""
"AC104532.2","Unmatched","","","",""
"AC020907.1","Unmatched","","","",""
"AC117834.1","Unmatched","","","",""
"MGC4294","Alias symbol","LINC01711","long intergenic non-protein coding RNA 1711","HGNC:28663","20q13.32"
"RP11-332O19.5","Unmatched","","","",""
"LPPR5","Alias symbol","PLPPR5","phospholipid phosphatase related 5","HGNC:31703","1p21.3"
"RP11-481A20.11","Unmatched","","","",""
"AC006455.1","Unmatched","","","",""
"RP11-463J10.2","Unmatched","","","",""
"AC112693.2","Unmatched","","","",""
"KB-1507C5.2","Unmatched","","","",""
"AC011484.1","Unmatched","","","",""
"AC079210.1","Unmatched","","","",""
"CTC-479C5.12","Unmatched","","","",""
"AC002398.9","Unmatched","","","",""
"RP1-102H19.8","Unmatched","","","",""
"RP1-228P16.5","Unmatched","","","",""
"AC010336.1","Unmatched","","","",""
"AC009892.10","Alias symbol","LILRB1-AS1","LILRB1 antisense RNA 1","HGNC:53114","19q13.42"
"CTD-2369P2.10","Unmatched","","","",""
"AL592284.1","Unmatched","","","",""
"RP11-894J14.5","Unmatched","","","",""
"CTD-2349B8.1","Unmatched","","","",""
"AL359091.2","Unmatched","","","",""
"AC010642.1","Unmatched","","","",""
"CTB-102L5.4","Unmatched","","","",""
"AC003006.7","Unmatched","","","",""
"AC006486.1","Unmatched","","","",""
"RP11-724O16.1","Unmatched","","","",""
"AC016722.1","Unmatched","","","",""
"AL121761.2","Unmatched","","","",""
"AL021920.2","Unmatched","","","",""
"AL136376.1","Unmatched","","","",""
"CTD-2287O16.3","Unmatched","","","",""
"L34079.2","Unmatched","","","",""
"AC138969.4","Unmatched","","","",""
"CTC-326K19.6","Unmatched","","","",""
"CTD-2192J16.20","Unmatched","","","",""
"AC027228.1","Unmatched","","","",""
"AD000671.6","Unmatched","","","",""
"RP11-276H1.3","Unmatched","","","",""
"RP11-156E8.1","Unmatched","","","",""
"AC137056.1","Unmatched","","","",""
"CTD-2140B24.4","Unmatched","","","",""
"RP11-343C2.12","Unmatched","","","",""
"RP11-1118M6.1","Unmatched","","","",""
"AC004466.1","Unmatched","","","",""
"RP11-126K1.2","Unmatched","","","",""
"PP13004","Unmatched","","","",""
"RP11-315D16.2","Unmatched","","","",""
"RP11-685N3.1","Unmatched","","","",""
"RP11-404L6.2","Unmatched","","","",""
"CTC-260F20.3","Unmatched","","","",""
"AP000769.1","Unmatched","","","",""
"AL626787.1","Unmatched","","","",""
"AC003102.1","Unmatched","","","",""
"AC132186.1","Unmatched","","","",""
"AC084121.16","Unmatched","","","",""
"CTD-3138B18.4","Unmatched","","","",""
"RP11-410N8.4","Unmatched","","","",""
"MEGT1","Alias symbol","LY6G6F-LY6G6D","LY6G6F-LY6G6D readthrough","HGNC:38821","6p21.33"
"MEGT1","Alias symbol","LY6G6D","lymphocyte antigen 6 family member G6D","HGNC:13935","6p21.33"
"AC026310.1","Unmatched","","","",""
"RP11-872D17.8","Unmatched","","","",""
"AC037459.4","Unmatched","","","",""
"RP11-613M10.8","Unmatched","","","",""
"AC026202.1","Unmatched","","","",""
